                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    108,                0.60406,                 0.3948,                0.98808,                0.96821,                0.96917,                0.97873,                0.82299,                0.60108,                0.35142,                 1.0529,              0.0077931,              0.0077931,              0.0077931
                    109,                0.62504,                0.42158,                 0.9955,                0.96707,                0.96496,                 0.9778,                 0.8297,                0.58677,                0.33819,                 1.0598,              0.0077725,              0.0077725,              0.0077725
                    110,                0.62489,                0.42237,                0.98473,                0.95867,                0.95337,                0.97073,                0.82721,                0.58053,                0.38491,                 1.0612,              0.0077519,              0.0077519,              0.0077519
                    111,                0.61339,                0.41502,                 1.0139,                0.96385,                0.94949,                0.98742,                0.82417,                0.58413,                0.32865,                 1.0622,              0.0077313,              0.0077313,              0.0077313
                    112,                0.58517,                0.38751,                0.99162,                0.97233,                0.95121,                 0.9803,                 0.8264,                0.57606,                0.32517,                 1.0501,              0.0077106,              0.0077106,              0.0077106
                    113,                0.59523,                0.38184,                0.98772,                0.96875,                0.95622,                0.98012,                0.83629,                0.56131,                0.33836,                 1.0304,                0.00769,                0.00769,                0.00769
                    114,                0.56764,                0.39434,                0.97701,                0.94847,                0.98258,                0.98905,                0.83827,                0.57174,                0.33207,                 1.0397,              0.0076694,              0.0076694,              0.0076694
                    115,                0.58387,                0.39396,                 0.9835,                0.95717,                0.96876,                 0.9873,                0.82802,                 0.5961,                0.35419,                 1.0732,              0.0076488,              0.0076488,              0.0076488
                    116,                0.58903,                0.40501,                 1.0006,                0.96551,                0.96365,                 0.9908,                0.85073,                0.55257,                0.35902,                 1.0625,              0.0076281,              0.0076281,              0.0076281
                    117,                0.56888,                0.38294,                0.97298,                0.97097,                0.97708,                0.98975,                0.86969,                0.53894,                  0.338,                 1.0434,              0.0076075,              0.0076075,              0.0076075
                    118,                0.58557,                0.39608,                 1.0032,                0.95599,                0.98362,                0.98975,                0.84379,                 0.5467,                 0.3446,                 1.0488,              0.0075869,              0.0075869,              0.0075869
                    119,                0.60132,                0.37855,                0.99732,                0.96765,                0.95347,                 0.9709,                0.82467,                0.54622,                0.36193,                 1.0438,              0.0075663,              0.0075663,              0.0075663
                    120,                0.60225,                0.39702,                 1.0119,                0.95421,                0.95398,                0.96677,                0.83227,                0.54668,                0.37454,                 1.0252,              0.0075456,              0.0075456,              0.0075456
                    121,                 0.5683,                0.40746,                0.97653,                0.97137,                0.97143,                0.97269,                0.84476,                0.54477,                0.32685,                 1.0165,               0.007525,               0.007525,               0.007525
                    122,                0.58317,                0.38782,                0.98218,                0.96331,                0.97051,                0.97233,                0.83775,                0.55209,                0.32449,                 1.0144,              0.0075044,              0.0075044,              0.0075044
                    123,                0.58994,                0.40348,                0.98695,                0.96487,                0.95943,                0.98199,                0.82195,                0.59253,                0.35303,                 1.0493,              0.0074837,              0.0074837,              0.0074837
                    124,                0.57608,                0.38653,                0.97672,                0.95708,                0.94762,                0.98131,                0.83731,                0.56735,                0.35559,                 1.0328,              0.0074631,              0.0074631,              0.0074631
                    125,                0.55188,                0.37489,                 0.9906,                0.92338,                0.95714,                0.96922,                0.82907,                0.56656,                  0.378,                 1.0348,              0.0074425,              0.0074425,              0.0074425
                    126,                0.59203,                0.38155,                 1.0103,                0.96861,                0.96686,                 0.9873,                0.83536,                0.58973,                0.35834,                 1.0745,              0.0074219,              0.0074219,              0.0074219
                    127,                0.58194,                0.36784,                0.98545,                0.97048,                0.94591,                0.98241,                0.83601,                0.57652,                0.37783,                 1.0634,              0.0074013,              0.0074013,              0.0074013
                    128,                0.58219,                0.38396,                0.98669,                0.95289,                0.91939,                0.97294,                0.83509,                0.55704,                0.37799,                 1.0558,              0.0073806,              0.0073806,              0.0073806
                    129,                0.56264,                0.38311,                 1.0103,                0.93129,                0.93884,                0.96699,                0.82293,                0.57648,                0.40913,                 1.0566,                0.00736,                0.00736,                0.00736
                    130,                0.57498,                0.36498,                 1.0044,                0.96429,                0.93807,                0.97762,                0.81608,                0.60811,                0.37219,                 1.0739,              0.0073394,              0.0073394,              0.0073394
                    131,                0.57083,                0.39383,                0.98768,                0.96904,                0.94988,                0.98524,                0.83206,                0.58866,                0.34261,                 1.0551,              0.0073188,              0.0073188,              0.0073188
                    132,                0.59427,                0.39521,                0.98383,                0.95978,                0.97143,                0.98353,                0.84395,                0.57429,                 0.3214,                 1.0371,              0.0072981,              0.0072981,              0.0072981
                    133,                0.59143,                0.35682,                 1.0004,                0.95019,                0.97143,                0.97772,                0.83947,                0.56168,                0.31663,                 1.0259,              0.0072775,              0.0072775,              0.0072775
                    134,                0.56122,                0.35245,                0.96402,                0.96857,                0.99919,                0.98256,                0.85654,                0.54281,                0.30491,                 1.0175,              0.0072569,              0.0072569,              0.0072569
                    135,                0.57282,                0.39622,                0.99719,                0.95711,                      1,                0.98256,                0.83512,                0.55556,                0.29986,                 1.0189,              0.0072362,              0.0072362,              0.0072362
                    136,                 0.5457,                0.35882,                0.98211,                0.97179,                0.99814,                0.98256,                0.82627,                0.58224,                0.32712,                 1.0343,              0.0072156,              0.0072156,              0.0072156
                    137,                0.53337,                 0.3773,                0.99257,                0.96121,                0.97143,                0.97906,                0.80769,                0.58689,                0.32661,                 1.0471,               0.007195,               0.007195,               0.007195
                    138,                0.57041,                0.37995,                0.97436,                0.95261,                0.94286,                0.96531,                 0.7858,                0.64705,                0.38447,                 1.1375,              0.0071744,              0.0071744,              0.0071744
                    139,                0.56134,                0.37525,                 0.9725,                0.96138,                0.96721,                0.96568,                0.79977,                0.62032,                0.34942,                  1.134,              0.0071538,              0.0071538,              0.0071538
                    140,                0.53985,                0.35927,                0.98911,                0.94812,                0.98266,                0.98256,                0.83653,                0.55932,                 0.3222,                 1.0374,              0.0071331,              0.0071331,              0.0071331
                    141,                0.52713,                0.35489,                0.96799,                0.97123,                0.97708,                0.98256,                0.83419,                0.54891,                0.30118,                 1.0348,              0.0071125,              0.0071125,              0.0071125
                    142,                0.52823,                0.35723,                0.97506,                0.94334,                0.98874,                0.98787,                0.83426,                0.57154,                0.32609,                 1.0521,              0.0070919,              0.0070919,              0.0070919
                    143,                0.54355,                0.36897,                0.97418,                0.94021,                0.98667,                0.98262,                0.82895,                0.58344,                0.35659,                 1.0484,              0.0070712,              0.0070712,              0.0070712
                    144,                0.52896,                0.36051,                0.97704,                0.91736,                0.97161,                0.98219,                 0.8317,                0.59004,                0.54528,                 1.0567,              0.0070506,              0.0070506,              0.0070506
                    145,                 0.5342,                0.34128,                0.96414,                0.83987,                0.99188,                0.99325,                0.84673,                0.56418,                0.57388,                 1.0348,                0.00703,                0.00703,                0.00703
                    146,                0.53176,                0.34574,                0.97211,                 0.9314,                0.94126,                0.99325,                0.85689,                0.55189,                0.41861,                 1.0311,              0.0070094,              0.0070094,              0.0070094
                    147,                0.53942,                0.34911,                 0.9425,                0.95894,                0.92866,                0.98989,                0.85106,                0.54209,                0.36542,                 1.0282,              0.0069888,              0.0069888,              0.0069888
                    148,                 0.5318,                0.34536,                0.97968,                0.94143,                0.98788,                 0.9915,                0.85315,                0.55166,                0.34757,                 1.0435,              0.0069681,              0.0069681,              0.0069681
                    149,                0.55254,                0.36696,                0.96985,                0.93712,                0.95982,                0.98975,                0.85193,                0.57741,                 0.3263,                 1.0742,              0.0069475,              0.0069475,              0.0069475
                    150,                0.52818,                0.35307,                0.97238,                0.93347,                0.99774,                  0.995,                0.86114,                0.54712,                0.29703,                 1.0439,              0.0069269,              0.0069269,              0.0069269
                    151,                0.54833,                0.36049,                0.97049,                0.93242,                0.90975,                0.98787,                0.84025,                0.59143,                0.45863,                 1.0855,              0.0069063,              0.0069063,              0.0069063
                    152,                0.54138,                0.35661,                0.98086,                0.94511,                0.96392,                0.98625,                0.82826,                0.61508,                0.37111,                 1.1022,              0.0068856,              0.0068856,              0.0068856
                    153,                0.53929,                0.36076,                0.98028,                0.96771,                      1,                0.99325,                0.83935,                0.56251,                0.29264,                 1.0399,               0.006865,               0.006865,               0.006865
                    154,                0.56455,                0.37376,                0.97639,                 0.9691,                0.99013,                 0.9915,                0.85626,                0.54712,                0.30261,                 1.0178,              0.0068444,              0.0068444,              0.0068444
                    155,                0.53885,                0.35558,                0.96473,                0.96839,                0.99819,                 0.9915,                0.86329,                0.54932,                 0.2955,                 1.0065,              0.0068238,              0.0068238,              0.0068238
                    156,                0.53335,                0.35393,                0.97927,                0.96657,                0.99454,                0.99325,                0.85656,                 0.5612,                 0.3176,                 1.0247,              0.0068031,              0.0068031,              0.0068031
                    157,                0.56354,                0.36969,                0.98781,                0.96924,                0.99623,                 0.9915,                0.85308,                0.56738,                0.30223,                 1.0357,              0.0067825,              0.0067825,              0.0067825
                    158,                0.53211,                0.35701,                0.95073,                0.96329,                0.98359,                0.98787,                 0.8414,                0.59218,                0.31147,                 1.0529,              0.0067619,              0.0067619,              0.0067619
                    159,                0.54231,                0.35168,                0.96406,                0.96549,                 0.9698,                0.98613,                0.84295,                 0.5919,                0.30519,                 1.0417,              0.0067413,              0.0067413,              0.0067413
                    160,                0.51551,                 0.3311,                0.95801,                0.93966,                0.98748,                0.98256,                0.84301,                0.56428,                0.32135,                 1.0291,              0.0067206,              0.0067206,              0.0067206
                    161,                0.52766,                0.34222,                0.97114,                0.96357,                 0.9524,                0.98437,                0.83872,                0.58523,                0.34003,                 1.0507,                 0.0067,                 0.0067,                 0.0067
                    162,                0.55332,                0.36242,                0.97857,                0.96828,                0.96339,                0.98612,                0.83054,                 0.5793,                0.33509,                 1.0442,              0.0066794,              0.0066794,              0.0066794
                    163,                0.54994,                0.36607,                0.97623,                0.96092,                0.97143,                0.98438,                0.83833,                0.56823,                 0.3167,                  1.034,              0.0066587,              0.0066587,              0.0066587
                    164,                0.50462,                0.33373,                0.95335,                0.97102,                0.95825,                0.98165,                0.84809,                0.58113,                 0.3172,                 1.0351,              0.0066381,              0.0066381,              0.0066381
                    165,                0.53133,                 0.3321,                0.97518,                0.95733,                0.95714,                 0.9845,                0.84121,                0.55501,                0.32001,                 1.0144,              0.0066175,              0.0066175,              0.0066175
                    166,                0.50206,                0.34727,                0.96538,                0.97256,                0.95279,                 0.9752,                 0.8405,                0.55413,                0.30835,                 1.0181,              0.0065969,              0.0065969,              0.0065969
                    167,                 0.5402,                0.35864,                0.96806,                0.97034,                0.95049,                0.97983,                0.83507,                0.57453,                0.30234,                 1.0287,              0.0065763,              0.0065763,              0.0065763
                    168,                0.52328,                0.34599,                0.95872,                 0.9473,                0.98571,                0.98055,                0.83879,                0.56801,                0.32092,                 1.0347,              0.0065556,              0.0065556,              0.0065556
                    169,                0.52734,                0.36346,                 0.9632,                0.95153,                0.98057,                0.97907,                0.82777,                0.58902,                0.32603,                 1.0525,               0.006535,               0.006535,               0.006535
                    170,                0.50466,                0.34433,                0.97797,                 0.9645,                0.94266,                0.96758,                0.82334,                0.58635,                0.34088,                 1.0502,              0.0065144,              0.0065144,              0.0065144
                    171,                  0.505,                0.32835,                0.95966,                0.97239,                0.94942,                0.97731,                0.82734,                0.57495,                 0.3388,                 1.0494,              0.0064937,              0.0064937,              0.0064937
                    172,                0.51483,                0.33404,                0.97231,                 0.9686,                0.96735,                0.97416,                0.81756,                0.61519,                0.33226,                 1.0796,              0.0064731,              0.0064731,              0.0064731
                    173,                  0.536,                0.35124,                0.98312,                0.96445,                0.96708,                 0.9799,                0.82741,                0.60838,                0.32397,                  1.079,              0.0064525,              0.0064525,              0.0064525
                    174,                0.52852,                0.34821,                0.95752,                0.97421,                0.97172,                0.98256,                0.82101,                0.59784,                0.32244,                  1.078,              0.0064319,              0.0064319,              0.0064319
                    175,                0.50553,                0.33834,                0.97279,                0.94804,                0.97143,                0.97194,                0.83601,                0.55401,                0.31847,                 1.0418,              0.0064112,              0.0064112,              0.0064112
                    176,                0.48574,                0.33249,                0.95642,                0.97274,                0.97143,                0.97238,                0.84328,                0.53275,                0.32084,                 1.0167,              0.0063906,              0.0063906,              0.0063906
                    177,                0.51817,                0.34926,                0.96628,                0.97441,                0.97143,                0.97634,                0.84717,                0.54016,                0.30825,                 1.0138,                0.00637,                0.00637,                0.00637
                    178,                0.51483,                0.37271,                0.95644,                  0.971,                0.97104,                0.98256,                0.85334,                0.53299,                0.29548,                 1.0039,              0.0063494,              0.0063494,              0.0063494
                    179,                0.53033,                0.35765,                0.97122,                0.96973,                0.95908,                0.98276,                0.84283,                0.55901,                0.30843,                 1.0214,              0.0063288,              0.0063288,              0.0063288
                    180,                0.49271,                0.33145,                0.95103,                0.96864,                0.96065,                0.98464,                0.84048,                0.55203,                0.31117,                 1.0211,              0.0063081,              0.0063081,              0.0063081
                    181,                0.51679,                0.34309,                0.96162,                0.96933,                0.95964,                0.98167,                0.85609,                0.52488,                0.29251,                 1.0025,              0.0062875,              0.0062875,              0.0062875
                    182,                0.48998,                0.35398,                0.94703,                0.95151,                0.96188,                0.98291,                0.85013,                0.54404,                0.31137,                 1.0165,              0.0062669,              0.0062669,              0.0062669
                    183,                0.47285,                0.31786,                0.93197,                0.95995,                0.96263,                 0.9888,                0.86005,                0.53846,                0.30738,                 1.0187,              0.0062463,              0.0062463,              0.0062463
                    184,                0.47949,                0.31844,                0.95165,                0.96167,                0.97308,                0.99014,                0.85399,                0.54361,                0.29184,                 1.0298,              0.0062256,              0.0062256,              0.0062256
                    185,                0.46958,                0.30134,                0.93916,                0.96547,                0.97951,                0.98081,                0.84072,                0.53469,                0.29177,                 1.0284,               0.006205,               0.006205,               0.006205
                    186,                0.50104,                0.32967,                0.95164,                 0.9669,                0.95878,                 0.9699,                0.81993,                0.58581,                0.28882,                 1.0774,              0.0061844,              0.0061844,              0.0061844
                    187,                0.49435,                0.32645,                0.96419,                0.95341,                0.97183,                0.96826,                0.82414,                0.61219,                0.31187,                 1.0943,              0.0061637,              0.0061637,              0.0061637
                    188,                0.50592,                0.35559,                0.96848,                0.94376,                 0.9606,                0.97163,                 0.8341,                0.56752,                0.28964,                 1.0672,              0.0061431,              0.0061431,              0.0061431
                    189,                0.49589,                 0.3488,                0.94007,                0.93622,                0.98405,                0.97475,                0.84177,                0.55587,                0.28463,                 1.0599,              0.0061225,              0.0061225,              0.0061225
                    190,                0.49194,                0.30532,                0.94204,                0.94587,                0.95426,                0.96774,                0.83239,                0.55653,                0.28039,                 1.0513,              0.0061019,              0.0061019,              0.0061019
                    191,                0.50909,                0.33784,                0.95932,                0.97161,                0.94581,                0.97129,                 0.8366,                0.57715,                0.28688,                 1.0685,              0.0060813,              0.0060813,              0.0060813
                    192,                0.52692,                0.33284,                0.94607,                0.96164,                0.95772,                0.98017,                0.83947,                0.56254,                0.29067,                 1.0475,              0.0060606,              0.0060606,              0.0060606
                    193,                0.49156,                0.32282,                0.94454,                0.94703,                 0.9867,                0.98438,                0.84659,                0.55498,                0.27909,                 1.0597,                0.00604,                0.00604,                0.00604
                    194,                0.47731,                 0.3107,                0.94364,                0.95868,                0.98761,                0.98081,                0.83422,                0.57705,                0.27628,                 1.0791,              0.0060194,              0.0060194,              0.0060194
                    195,                0.50387,                0.33067,                0.97908,                0.95838,                0.99047,                0.98437,                0.83463,                0.60935,                0.28509,                 1.1092,              0.0059988,              0.0059988,              0.0059988
                    196,                0.48491,                0.32958,                0.95829,                0.97451,                0.98746,                  0.995,                0.85836,                0.59295,                0.28342,                 1.0928,              0.0059781,              0.0059781,              0.0059781
                    197,                0.50208,                0.31641,                0.95282,                0.96268,                 0.9878,                 0.9915,                0.85325,                0.56967,                0.29516,                 1.0557,              0.0059575,              0.0059575,              0.0059575
                    198,                0.48595,                0.31702,                0.92496,                0.96016,                 0.9974,                 0.9915,                0.85629,                0.55048,                0.27622,                 1.0416,              0.0059369,              0.0059369,              0.0059369
                    199,                0.50509,                0.31886,                0.97104,                0.95762,                0.98571,                0.99325,                0.84198,                0.55344,                0.32016,                 1.0481,              0.0059163,              0.0059163,              0.0059163
                    200,                0.52504,                0.34672,                0.95791,                0.96571,                0.98876,                  0.995,                0.84762,                0.54353,                0.33335,                 1.0326,              0.0058956,              0.0058956,              0.0058956
                    201,                0.45968,                0.30304,                0.93949,                0.97038,                0.98869,                0.99325,                0.84621,                0.55466,                0.29044,                 1.0311,               0.005875,               0.005875,               0.005875
                    202,                 0.4711,                0.31252,                0.94715,                0.96209,                0.98801,                  0.995,                0.86015,                0.54691,                0.27779,                 1.0264,              0.0058544,              0.0058544,              0.0058544
                    203,                0.49987,                0.32449,                0.96914,                0.97346,                0.96049,                  0.995,                0.85596,                0.54925,                 0.3014,                  1.031,              0.0058337,              0.0058337,              0.0058337
                    204,                0.48545,                0.31176,                0.93769,                0.97298,                0.95925,                  0.995,                0.85935,                0.54565,                0.30017,                 1.0289,              0.0058131,              0.0058131,              0.0058131
                    205,                0.48693,                0.33044,                0.94125,                0.96043,                0.97283,                  0.995,                0.86336,                0.54136,                0.29607,                 1.0297,              0.0057925,              0.0057925,              0.0057925
                    206,                0.48774,                0.31969,                0.93849,                0.94967,                0.99641,                 0.9915,                0.86405,                 0.5534,                0.27828,                 1.0263,              0.0057719,              0.0057719,              0.0057719
                    207,                0.47803,                0.30293,                0.94354,                0.96617,                0.98388,                0.99325,                0.85791,                0.55901,                0.27773,                 1.0312,              0.0057513,              0.0057513,              0.0057513
                    208,                0.48321,                0.32728,                0.95655,                0.97177,                0.99041,                  0.995,                0.85204,                0.56129,                0.27169,                 1.0395,              0.0057306,              0.0057306,              0.0057306
                    209,                0.46547,                0.29762,                0.96273,                0.97473,                0.96288,                0.98989,                0.85076,                0.56516,                0.26925,                 1.0449,                0.00571,                0.00571,                0.00571
                    210,                0.46943,                0.29008,                0.93846,                 0.9574,                0.96033,                 0.9799,                0.82845,                0.57654,                0.28768,                 1.0672,              0.0056894,              0.0056894,              0.0056894
                    211,                0.47137,                0.31483,                 0.9423,                0.95913,                0.95809,                0.97598,                  0.834,                0.56699,                0.30676,                  1.075,              0.0056688,              0.0056688,              0.0056688
                    212,                0.47962,                0.30022,                0.94098,                0.97344,                0.96146,                0.98132,                0.84434,                0.54628,                 0.3058,                 1.0354,              0.0056481,              0.0056481,              0.0056481
                    213,                0.48332,                0.32153,                0.94345,                0.97227,                0.95947,                0.98664,                0.84922,                0.55676,                0.31015,                 1.0347,              0.0056275,              0.0056275,              0.0056275
                    214,                0.46196,                0.30383,                 0.9489,                0.96501,                0.95825,                  0.995,                0.85392,                0.57605,                0.31789,                 1.0444,              0.0056069,              0.0056069,              0.0056069
                    215,                 0.4787,                0.32195,                0.95215,                0.95883,                0.95798,                  0.995,                0.85482,                0.58575,                0.31065,                 1.0536,              0.0055863,              0.0055863,              0.0055863
                    216,                0.47385,                0.29494,                0.94612,                0.96548,                0.96095,                  0.995,                0.86436,                0.56487,                0.29704,                 1.0375,              0.0055656,              0.0055656,              0.0055656
                    217,                0.45837,                0.31393,                0.93495,                0.96808,                0.96009,                  0.995,                0.86124,                0.55745,                0.30812,                 1.0331,               0.005545,               0.005545,               0.005545
